Ranking,Game_Name,Platform,Release_Year,Genre,Publisher,North_America_Sales,Europe_Sales,Japan_Sales,Other_Regions_Sales,Total_Global_Sales,Year_int
7310,ninja gaiden: dragon sword,DS,2008-01-01,Action,Tecmo Koei,0.17,0.02,0.02,0.02,0.22,2008.0
7311,ride,PS4,2015-01-01,Racing,Milestone S.r.l.,0.03,0.13,0.03,0.03,0.22,2015.0
7312,blue dragon plus,DS,2008-01-01,Role-Playing,Ignition Entertainment,0.12,0.04,0.05,0.01,0.22,2008.0
7313,lords of the fallen,XOne,2014-01-01,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22,2014.0
7314,nba in the zone 2000,PS,2000-01-01,Sports,Konami Digital Entertainment,0.12,0.08,0.0,0.01,0.21,2000.0
7315,dark summit,PS2,2001-01-01,Sports,THQ,0.11,0.08,0.0,0.03,0.21,2001.0
7316,afrika,PS3,2008-01-01,Adventure,Unknown,0.12,0.0,0.08,0.01,0.21,2008.0
7317,cabela's big game hunter: ultimate challenge,PS,2001-01-01,Sports,Activision Value,0.12,0.08,0.0,0.01,0.21,2001.0
7318,the legend of heroes: trails in the sky first chapter,PSP,2006-01-01,Role-Playing,Ghostlight,0.1,0.03,0.06,0.03,0.21,2006.0
7319,are you smarter than a 5th grader? back to school,Wii,2010-01-01,Misc,Nintendo,0.2,0.0,0.0,0.02,0.21,2010.0
7320,steins;gate,PSV,2013-01-01,Adventure,PQube,0.07,0.09,0.0,0.05,0.21,2013.0
7321,the dukes of hazzard: return of the general lee,PS2,2004-01-01,Racing,Ubisoft,0.11,0.08,0.0,0.03,0.21,2004.0
7322,pandemonium!,PS,1996-01-01,Platform,BMG Interactive Entertainment,0.12,0.08,0.0,0.01,0.21,1996.0
7323,singstar: back to the 80s,PS3,2011-01-01,Misc,Sony Computer Entertainment,0.0,0.16,0.0,0.05,0.21,2011.0
7324,namco museum: 50th anniversary,GC,2005-01-01,Misc,Namco Bandai Games,0.17,0.04,0.0,0.01,0.21,2005.0
7325,crash 'n' burn,PS2,2004-01-01,Racing,Eidos Interactive,0.11,0.08,0.0,0.03,0.21,2004.0
7326,nba,PSP,2005-01-01,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.21,2005.0
7327,teenage mutant ninja turtles: smash-up,PS2,2009-01-01,Fighting,Ubisoft,0.11,0.08,0.0,0.03,0.21,2009.0
7328,pro yakyuu greatest nine '97,SAT,1997-01-01,Sports,Sega,0.0,0.0,0.21,0.0,0.21,1997.0
7329,transformers: dark of the moon,3DS,2011-01-01,Action,Activision,0.16,0.04,0.0,0.02,0.21,2011.0
7330,final fantasy fables: chocobo's dungeon,Wii,2007-01-01,Role-Playing,Square Enix,0.09,0.0,0.11,0.01,0.21,2007.0
7331,lunar: silver star story complete,SAT,1997-01-01,Role-Playing,Kadokawa Shoten,0.0,0.0,0.21,0.0,0.21,1997.0
7332,dorabase ds: dramatic stadium,DS,2007-01-01,Sports,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,2007.0
7333,disaster report,PS2,2002-01-01,Action,Agetec,0.03,0.02,0.15,0.01,0.21,2002.0
7334,eve: burst error,SAT,1997-01-01,Adventure,Imagineer,0.0,0.0,0.21,0.0,0.21,1997.0
7335,we sing robbie williams,Wii,2010-01-01,Misc,Nordic Games,0.0,0.19,0.0,0.03,0.21,2010.0
7336,backyard nfl football '09,Wii,2008-01-01,Sports,Atari,0.2,0.0,0.0,0.02,0.21,2008.0
7337,pro evolution soccer 2012,Wii,2011-01-01,Action,Konami Digital Entertainment,0.08,0.08,0.03,0.02,0.21,2011.0
7338,akiba's trip: undead & undressed,PSV,2013-01-01,Action,Nippon Ichi Software,0.09,0.02,0.08,0.03,0.21,2013.0
7339,speed racer: the videogame,PS2,2008-01-01,Racing,Warner Bros. Interactive Entertainment,0.1,0.08,0.0,0.03,0.21,2008.0
7340,college hoops 2k7,X360,2006-01-01,Sports,Take-Two Interactive,0.2,0.0,0.0,0.02,0.21,2006.0
7341,the amazing spider-man 2 (2014),XOne,2014-01-01,Action,Activision,0.12,0.07,0.0,0.02,0.21,2014.0
7342,big league sports,X360,2011-01-01,Sports,Activision,0.18,0.02,0.0,0.01,0.21,2011.0
7343,bratz: forever diamondz,GC,2006-01-01,Adventure,THQ,0.17,0.04,0.0,0.01,0.21,2006.0
7344,wcw backstage assault,PS,1999-01-01,Action,Electronic Arts,0.12,0.08,0.0,0.01,0.21,1999.0
7345,ufc undisputed 2010,PSP,2010-01-01,Fighting,THQ,0.11,0.07,0.0,0.04,0.21,2010.0
7346,baja: edge of control,PS3,2008-01-01,Racing,THQ,0.1,0.08,0.0,0.04,0.21,2008.0
7347,wild wild racing,PS2,2000-01-01,Racing,Interplay,0.1,0.08,0.0,0.03,0.21,2000.0
7348,magician's quest: town of magic,3DS,2012-01-01,Simulation,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21,2012.0
7349,the bard's tale,PS2,2004-01-01,Role-Playing,Ubisoft,0.1,0.08,0.0,0.03,0.21,2004.0
7350,ncaa march madness 08,X360,2007-01-01,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.21,2007.0
7351,momotarou dentetsu 16,PS2,2006-01-01,Misc,Hudson Soft,0.0,0.0,0.21,0.0,0.21,2006.0
7352,robotech: the macross saga,GBA,2002-01-01,Shooter,TDK Mediactive,0.15,0.06,0.0,0.0,0.21,2002.0
7353,yu yu hakusho: dark tournament,PS2,,Fighting,,0.1,0.08,0.0,0.03,0.21,
7354,mtv celebrity deathmatch,XB,2003-01-01,Fighting,Gotham Games,0.16,0.05,0.0,0.01,0.21,2003.0
7355,gekijouban macross f: itsuwarino utahime - hybrid pack,PS3,2010-01-01,Action,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,2010.0
7356,conflict zone,PS2,2002-01-01,Strategy,Ubisoft,0.1,0.08,0.0,0.03,0.21,2002.0
7357,tony hawk's american sk8land,DS,2005-01-01,Sports,Activision,0.19,0.01,0.0,0.02,0.21,2005.0
7358,de blob 2,PS3,2011-01-01,Platform,THQ,0.11,0.07,0.0,0.03,0.21,2011.0
7359,the bigs 2,X360,2009-01-01,Sports,Take-Two Interactive,0.19,0.01,0.0,0.02,0.21,2009.0
7360,bloodrayne,XB,2002-01-01,Shooter,Universal Interactive,0.16,0.05,0.0,0.01,0.21,2002.0
7361,hannah montana: the movie,X360,2009-01-01,Adventure,Disney Interactive Studios,0.14,0.06,0.0,0.02,0.21,2009.0
7362,50 cent: blood on the sand,X360,2009-01-01,Shooter,THQ,0.12,0.07,0.0,0.02,0.21,2009.0
7363,bratz: girlz really rock,Wii,2008-01-01,Action,THQ,0.19,0.0,0.0,0.02,0.21,2008.0
7364,nhl 2k6,XB,2005-01-01,Sports,Take-Two Interactive,0.16,0.05,0.0,0.01,0.21,2005.0
7365,tenchu: return from darkness,XB,2004-01-01,Action,Activision,0.16,0.05,0.0,0.01,0.21,2004.0
7366,world poker tour,PS2,2005-01-01,Misc,Take-Two Interactive,0.1,0.08,0.0,0.03,0.21,2005.0
7367,prison break: the conspiracy,X360,2010-01-01,Action,Deep Silver,0.07,0.12,0.0,0.02,0.21,2010.0
7368,neo contra,PS2,2004-01-01,Shooter,Konami Digital Entertainment,0.1,0.08,0.0,0.03,0.21,2004.0
7369,mvp baseball,PSP,2005-01-01,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.21,2005.0
7370,grid autosport,PS3,2014-01-01,Racing,Codemasters,0.05,0.11,0.01,0.04,0.21,2014.0
7371,ghostbusters ii,2600,,Action,Activision,0.2,0.01,0.0,0.0,0.21,
7372,breakaway iv,2600,,Puzzle,Sears,0.2,0.01,0.0,0.0,0.21,
7373,realsports baseball,2600,1981-01-01,Sports,Atari,0.2,0.01,0.0,0.0,0.21,1981.0
7374,now! that's what i call music: dance & sing,Wii,2011-01-01,Misc,Unknown,0.0,0.18,0.0,0.04,0.21,2011.0
7375,yu-gi-oh! 5d's world championship 2011: over the nexus,DS,2011-01-01,Strategy,Konami Digital Entertainment,0.1,0.03,0.07,0.01,0.21,2011.0
7376,metal gear solid v: the phantom pain,X360,2015-01-01,Action,Konami Digital Entertainment,0.12,0.08,0.0,0.02,0.21,2015.0
7377,hasbro family game night 3,X360,2010-01-01,Misc,Electronic Arts,0.17,0.03,0.0,0.01,0.21,2010.0
7378,g.i. joe: the rise of cobra,PS3,2009-01-01,Action,Electronic Arts,0.11,0.07,0.0,0.03,0.21,2009.0
7379,rayman raving rabbids,X360,2007-01-01,Misc,Ubisoft,0.18,0.01,0.0,0.02,0.21,2007.0
7380,viewtiful joe 2,PS2,2004-01-01,Action,Capcom,0.1,0.08,0.0,0.03,0.21,2004.0
7381,quake iii: revolution,PS2,2001-01-01,Shooter,Electronic Arts,0.1,0.08,0.0,0.03,0.21,2001.0
7382,pac-man world 3,PS2,2005-01-01,Platform,Namco Bandai Games,0.1,0.08,0.0,0.03,0.21,2005.0
7383,naruto: clash of ninja (jp sales),GC,2003-01-01,Fighting,Tomy Corporation,0.0,0.0,0.21,0.01,0.21,2003.0
7384,robotech: battlecry,XB,,Shooter,Unknown,0.16,0.05,0.0,0.01,0.21,
7385,noël: not digital,PS,1996-01-01,Adventure,Pioneer LDC,0.0,0.0,0.2,0.01,0.21,1996.0
7386,transformer: rise of the dark spark,PS4,2014-01-01,Action,Activision,0.07,0.1,0.01,0.04,0.21,2014.0
7387,dragon ball z hyper dimension,SNES,1995-01-01,Fighting,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,1995.0
7388,hidden mysteries: titanic - secrets of the fateful voyage,Wii,2009-01-01,Adventure,GSP,0.12,0.07,0.0,0.02,0.21,2009.0
7389,senran kagura 2: deep crimson,3DS,2014-01-01,Action,Marvelous Entertainment,0.09,0.03,0.08,0.01,0.21,2014.0
7390,marvel super hero squad,PSP,2009-01-01,Fighting,THQ,0.17,0.02,0.0,0.02,0.21,2009.0
7391,the chronicles of narnia: prince caspian,DS,2008-01-01,Action,Disney Interactive Studios,0.19,0.01,0.0,0.02,0.21,2008.0
7392,champion jockey: g1 jockey & gallop racer,PS3,2011-01-01,Sports,Tecmo Koei,0.06,0.05,0.08,0.02,0.21,2011.0
7393,hbo boxing,PS,2000-01-01,Fighting,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.21,2000.0
7394,yoga wii,Wii,2009-01-01,Sports,JoWood Productions,0.15,0.05,0.0,0.02,0.21,2009.0
7395,darkwatch,XB,2005-01-01,Shooter,Ubisoft,0.16,0.05,0.0,0.01,0.21,2005.0
7396,cabela's survival: shadows of katmai,Wii,2011-01-01,Sports,Activision,0.15,0.05,0.0,0.02,0.21,2011.0
7397,prince of persia: revelations,PSP,2005-01-01,Adventure,Ubisoft,0.18,0.01,0.0,0.02,0.21,2005.0
7398,bass pro shops: the strike,X360,2009-01-01,Sports,XS Games,0.2,0.0,0.0,0.02,0.21,2009.0
7399,front mission 5: scars of the war,PS2,2005-01-01,Strategy,Square Enix,0.0,0.0,0.21,0.0,0.21,2005.0
7400,maximo vs army of zin,PS2,2003-01-01,Platform,Capcom,0.1,0.08,0.0,0.03,0.21,2003.0
7401,the fairly oddparents: breakin' da rules,GC,2003-01-01,Platform,THQ,0.16,0.04,0.0,0.01,0.21,2003.0
7402,namco museum megamix,Wii,2010-01-01,Misc,Namco Bandai Games,0.2,0.0,0.0,0.01,0.21,2010.0
7403,wedding dash,DS,2009-01-01,Action,Zoo Games,0.2,0.0,0.0,0.01,0.21,2009.0
7404,hot shots tennis: get a grip,PSP,2010-01-01,Sports,Sony Computer Entertainment,0.06,0.0,0.13,0.01,0.21,2010.0
7405,summoner 2,PS2,2002-01-01,Role-Playing,THQ,0.1,0.08,0.0,0.03,0.21,2002.0
7406,the land before time: big water adventure,PS,2002-01-01,Platform,TDK Mediactive,0.12,0.08,0.0,0.01,0.21,2002.0
7407,shadow of destiny,PS2,2001-01-01,Adventure,Konami Digital Entertainment,0.09,0.07,0.03,0.02,0.21,2001.0
7408,valkyria chronicles iii: unrecorded chronicles,PSP,,Strategy,Sega,0.0,0.0,0.21,0.0,0.21,
7409,cabela's deer hunt: 2004 season,XB,2003-01-01,Sports,Activision Value,0.16,0.05,0.0,0.01,0.21,2003.0
7410,disney's planes,WiiU,2013-01-01,Simulation,Disney Interactive Studios,0.15,0.04,0.0,0.02,0.21,2013.0
7411,brunswick pro bowling,PSP,2007-01-01,Sports,505 Games,0.19,0.0,0.0,0.02,0.21,2007.0
7412,world series of poker,PSP,2005-01-01,Misc,Activision,0.19,0.0,0.0,0.02,0.21,2005.0
7413,clayfighter 63 1/3,N64,1997-01-01,Fighting,Interplay,0.17,0.04,0.0,0.0,0.21,1997.0
7414,monopoly,N64,1999-01-01,Misc,Hasbro Interactive,0.17,0.04,0.0,0.0,0.21,1999.0
7415,wcw nitro,N64,1998-01-01,Fighting,THQ,0.17,0.04,0.0,0.0,0.21,1998.0
7416,cruis'n exotica,N64,2000-01-01,Racing,Midway Games,0.17,0.04,0.0,0.0,0.21,2000.0
7417,gex 3: deep cover gecko,N64,1999-01-01,Platform,Crave Entertainment,0.17,0.04,0.0,0.0,0.21,1999.0
7418,winback: covert operations,N64,1999-01-01,Shooter,Virgin Interactive,0.17,0.04,0.0,0.0,0.21,1999.0
7419,heroes of ruin,3DS,2012-01-01,Role-Playing,Nintendo,0.13,0.07,0.0,0.02,0.21,2012.0
7420,wipeout 3 the game,X360,2012-01-01,Action,Activision,0.2,0.0,0.0,0.01,0.21,2012.0
7421,bastard!! utsuro naru kamigami no utsuwa,PS,1996-01-01,Role-Playing,Seta Corporation,0.0,0.0,0.2,0.01,0.21,1996.0
7422,sbk superbike world championship,X360,2008-01-01,Racing,Black Bean Games,0.06,0.14,0.0,0.01,0.21,2008.0
7423,the king of fighters '96,SAT,1996-01-01,Fighting,SNK,0.0,0.0,0.21,0.0,0.21,1996.0
7424,bionicle,GC,2003-01-01,Action,Electronic Arts,0.16,0.04,0.0,0.01,0.21,2003.0
7425,wrc: fia world rally championship,PS3,,Racing,Black Bean Games,0.0,0.15,0.01,0.05,0.21,
7426,angel blade: neo tokyo guardians,PS,1997-01-01,Role-Playing,On Demand,0.12,0.08,0.0,0.01,0.21,1997.0
7427,threads of fate,PS,1999-01-01,Role-Playing,SquareSoft,0.12,0.08,0.0,0.01,0.21,1999.0
7428,popolocrois monogatari ii,PS,2000-01-01,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.2,0.01,0.21,2000.0
7429,famicom mini: ganbare goemon! karakuri douchuu,GBA,2004-01-01,Platform,Konami Digital Entertainment,0.0,0.0,0.2,0.01,0.21,2004.0
7430,vampire rain,X360,2007-01-01,Action,Microsoft Game Studios,0.18,0.0,0.01,0.01,0.21,2007.0
7431,way of the samurai 3,X360,2009-01-01,Action,Gamebridge,0.12,0.05,0.02,0.02,0.21,2009.0
7432,deus ex: the conspiracy,PS2,2002-01-01,Action,Eidos Interactive,0.1,0.08,0.0,0.03,0.21,2002.0
7433,unreal ii: the awakening,XB,2004-01-01,Shooter,Atari,0.17,0.04,0.0,0.01,0.21,2004.0
7434,rumble racing,PS2,2001-01-01,Racing,Electronic Arts,0.1,0.08,0.0,0.03,0.21,2001.0
7435,spider-man: web of shadows,PS2,2008-01-01,Action,Activision,0.1,0.08,0.0,0.03,0.21,2008.0
7436,disgaea d2: a brighter darkness,PS3,2013-01-01,Role-Playing,Nippon Ichi Software,0.09,0.0,0.1,0.01,0.21,2013.0
7437,batman begins,XB,2005-01-01,Action,Electronic Arts,0.16,0.04,0.0,0.01,0.21,2005.0
7438,just dance: greatest hits,Wii,2012-01-01,Misc,Ubisoft,0.15,0.04,0.0,0.02,0.21,2012.0
7439,j-league winning eleven 10 + europa league 06-07,PS2,2006-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21,2006.0
7440,shrek: reekin' havoc,GBA,2003-01-01,Platform,TDK Mediactive,0.15,0.06,0.0,0.0,0.21,2003.0
7441,solatorobo: red the hunter,DS,2010-01-01,Role-Playing,Nintendo,0.08,0.04,0.07,0.01,0.21,2010.0
7442,tales of phantasia: narikiri dungeon x,PSP,2010-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,2010.0
7443,jsrf: jet set radio future,XB,2002-01-01,Action,Sega,0.13,0.04,0.03,0.01,0.21,2002.0
7444,nhl hitz 20-02,GC,2001-01-01,Sports,Midway Games,0.16,0.04,0.0,0.01,0.21,2001.0
7445,the last airbender,Wii,2010-01-01,Action,THQ,0.12,0.07,0.0,0.02,0.21,2010.0
7446,ncaa football 2003,GC,2002-01-01,Sports,Electronic Arts,0.16,0.04,0.0,0.01,0.21,2002.0
7447,stoked,X360,2009-01-01,Sports,Zushi Games,0.18,0.01,0.0,0.01,0.21,2009.0
7448,rollcage,PS,1999-01-01,Racing,Psygnosis,0.12,0.08,0.0,0.01,0.21,1999.0
7449,espn winter x games: snowboarding 2002,PS2,2000-01-01,Sports,Konami Digital Entertainment,0.1,0.08,0.0,0.03,0.21,2000.0
7450,project: snowblind,PS2,2005-01-01,Action,Eidos Interactive,0.1,0.08,0.0,0.03,0.21,2005.0
7451,tony hawk's motion,DS,2008-01-01,Sports,Activision,0.19,0.0,0.0,0.02,0.21,2008.0
7452,super robot taisen k,DS,2009-01-01,Strategy,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,2009.0
7453,mortal kombat: special forces,PS,2000-01-01,Fighting,Midway Games,0.12,0.08,0.0,0.01,0.21,2000.0
7454,lego the hobbit,PSV,2014-01-01,Action,Warner Bros. Interactive Entertainment,0.03,0.13,0.0,0.05,0.21,2014.0
7455,rayman legends,PSV,2014-01-01,Platform,Ubisoft,0.03,0.12,0.0,0.05,0.21,2014.0
7456,dragon ball z: harukanaru densetsu,DS,2007-01-01,Role-Playing,Namco Bandai Games,0.19,0.0,0.0,0.02,0.21,2007.0
7457,wacky races: crash & dash,DS,2008-01-01,Racing,Eidos Interactive,0.19,0.0,0.0,0.01,0.21,2008.0
7458,i spy: castle,DS,2011-01-01,Puzzle,Scholastic Inc.,0.19,0.0,0.0,0.01,0.21,2011.0
7459,shin megami tensei: persona 3 (jp sales),PS2,2006-01-01,Role-Playing,Tecmo Koei,0.0,0.0,0.21,0.0,0.21,2006.0
7460,greg hastings paintball 2,X360,2010-01-01,Shooter,Majesco Entertainment,0.19,0.0,0.0,0.01,0.21,2010.0
7461,evil dead: regeneration,PS2,2005-01-01,Action,THQ,0.1,0.08,0.0,0.03,0.21,2005.0
7462,dead to rights: retribution,X360,2010-01-01,Shooter,Namco Bandai Games,0.11,0.08,0.0,0.02,0.21,2010.0
7463,ncaa march madness 07,X360,2007-01-01,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,2007.0
7464,nhl 2003,XB,2002-01-01,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.21,2002.0
7465,marvel super hero squad: comic combat,PS3,2011-01-01,Action,THQ,0.11,0.07,0.0,0.03,0.21,2011.0
7466,x-men: children of the atom,SAT,1995-01-01,Fighting,Acclaim Entertainment,0.0,0.0,0.21,0.0,0.21,1995.0
7467,barbie fashion show: an eye for style,DS,2008-01-01,Misc,Activision,0.19,0.0,0.0,0.02,0.21,2008.0
7468,tiger woods pga tour,PSP,2005-01-01,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,2005.0
7469,yarudora series vol. 2: kisetsu wo dakishimete,PS,1998-01-01,Adventure,Sony Computer Entertainment,0.0,0.0,0.19,0.01,0.21,1998.0
7470,nhl 2k3,PS2,2002-01-01,Sports,Sega,0.1,0.08,0.0,0.03,0.21,2002.0
7471,heisei kyouiku linkai ds,DS,2006-01-01,Misc,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,2006.0
7472,spongebob squarepants: game boy advance video volume 3,GBA,2004-01-01,Misc,,0.15,0.05,0.0,0.0,0.21,2004.0
7473,pro yaky? spirits 2010,PS3,2010-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21,2010.0
7474,the naked brothers band: the video game,Wii,2008-01-01,Misc,THQ,0.19,0.0,0.0,0.01,0.21,2008.0
7475,final fight one,GBA,2001-01-01,Fighting,Ubisoft,0.09,0.03,0.08,0.0,0.21,2001.0
7476,rune factory: tides of destiny,Wii,2011-01-01,Role-Playing,Marvelous Interactive,0.14,0.0,0.06,0.01,0.21,2011.0
7477,the amazing spider-man (console version),DS,2012-01-01,Action,Activision,0.15,0.04,0.0,0.01,0.21,2012.0
7478,ncaa football 10,PSP,2009-01-01,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,2009.0
7479,gallop racer 2003: a new breed,PS2,2002-01-01,Sports,Zoo Digital Publishing,0.04,0.03,0.12,0.01,0.21,2002.0
7480,dawn of discovery,Wii,2009-01-01,Simulation,Ubisoft,0.13,0.06,0.0,0.02,0.21,2009.0
7481,beyblade vforce: super tournament battle,GC,2002-01-01,Action,Atari,0.16,0.04,0.0,0.01,0.21,2002.0
7482,outlaw golf 2,XB,2004-01-01,Sports,Global Star,0.15,0.04,0.0,0.01,0.21,2004.0
7483,little battlers experience: baku boost,3DS,2012-01-01,Action,Nintendo,0.0,0.0,0.21,0.0,0.21,2012.0
7484,anarchy reigns,PS3,2012-01-01,Action,Sega,0.1,0.03,0.06,0.02,0.21,2012.0
7485,csi: deadly intent,X360,2009-01-01,Adventure,Ubisoft,0.1,0.08,0.0,0.02,0.21,2009.0
7486,defiance,PC,2013-01-01,Shooter,Trion Worlds,0.14,0.04,0.0,0.02,0.21,2013.0
7487,j-league pro soccer club o tsukurou! 7 euro plus,PSP,2011-01-01,Sports,Sega,0.0,0.0,0.21,0.0,0.21,2011.0
7488,lego ninjago: shadow of ronin,3DS,2015-01-01,Action,Warner Bros. Interactive Entertainment,0.05,0.1,0.04,0.01,0.21,2015.0
7489,bugs bunny & taz: time busters,PS,2000-01-01,Adventure,Infogrames,0.11,0.08,0.0,0.01,0.21,2000.0
7490,need for speed carbon: own the city,DS,2006-01-01,Racing,Electronic Arts,0.17,0.02,0.0,0.02,0.21,2006.0
7491,dragon ball z: sagas,GC,2005-01-01,Fighting,Atari,0.16,0.04,0.0,0.01,0.21,2005.0
7492,kung fu rider,PS3,2010-01-01,Action,Sony Computer Entertainment,0.06,0.1,0.01,0.04,0.21,2010.0
7493,jikkyou powerful pro yakyuu 2012,PS3,2012-01-01,Action,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21,2012.0
7494,x2: wolverine's revenge,XB,2003-01-01,Platform,Activision,0.15,0.04,0.0,0.01,0.21,2003.0
7495,power rangers: wild force,GBA,2002-01-01,Action,THQ,0.15,0.05,0.0,0.0,0.21,2002.0
7496,the wolf among us,PS4,2014-01-01,Adventure,Telltale Games,0.1,0.07,0.0,0.03,0.21,2014.0
7497,thrillville,PSP,2006-01-01,Strategy,Atari,0.18,0.0,0.0,0.02,0.2,2006.0
7498,battle of giants: dinosaurs strike,Wii,2010-01-01,Strategy,Ubisoft,0.15,0.04,0.0,0.02,0.2,2010.0
7499,attack on titan (koei),PS4,2016-01-01,Action,Tecmo Koei,0.02,0.06,0.11,0.02,0.2,2016.0
7500,the king of fighters '95,NG,1995-01-01,Fighting,SNK,0.0,0.0,0.2,0.0,0.2,1995.0
7501,discovery kids: pony paradise,DS,2009-01-01,Simulation,505 Games,0.19,0.0,0.0,0.01,0.2,2009.0
7502,mary-kate and ashley: girls night out,GBA,2002-01-01,Misc,Acclaim Entertainment,0.15,0.05,0.0,0.0,0.2,2002.0
7503,cabela's north american adventures,Wii,2010-01-01,Sports,Activision,0.19,0.0,0.0,0.01,0.2,2010.0
7504,enchanted arms,PS3,2007-01-01,Role-Playing,Ubisoft,0.17,0.01,0.0,0.02,0.2,2007.0
7505,beyblade g-revolution,GBA,2004-01-01,Action,Atari,0.15,0.05,0.0,0.0,0.2,2004.0
7506,wwe all stars,Wii,2011-01-01,Fighting,THQ,0.11,0.07,0.0,0.02,0.2,2011.0
7507,trade & battle: card hero,GB,2000-01-01,Strategy,Nintendo,0.0,0.0,0.2,0.0,0.2,2000.0
7508,world championship cards,PSP,2008-01-01,Misc,Crave Entertainment,0.19,0.0,0.0,0.02,0.2,2008.0
7509,you don't know jack,X360,2011-01-01,Misc,THQ,0.19,0.0,0.0,0.01,0.2,2011.0
7510,chronicles of mystery: curse of the ancient temple,DS,2009-01-01,Adventure,City Interactive,0.07,0.11,0.0,0.02,0.2,2009.0
7511,nba live 15,XOne,2014-01-01,Sports,Electronic Arts,0.17,0.02,0.0,0.02,0.2,2014.0
7512,capcom fighting evolution,PS2,2004-01-01,Fighting,Capcom,0.1,0.08,0.0,0.03,0.2,2004.0
7513,frogger 3d,3DS,2011-01-01,Action,Konami Digital Entertainment,0.16,0.03,0.0,0.01,0.2,2011.0
7514,sd gundam gnext,SNES,1995-01-01,Strategy,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2,1995.0
7515,backyard nfl football 2006,PS2,2005-01-01,Sports,Atari,0.1,0.08,0.0,0.03,0.2,2005.0
7516,nascar heat 2002,XB,2001-01-01,Racing,Infogrames,0.15,0.04,0.0,0.01,0.2,2001.0
7517,planet 51,Wii,2009-01-01,Action,Sega,0.17,0.02,0.0,0.02,0.2,2009.0
7518,sloane to machale no nazo no monogatari,DS,2009-01-01,Puzzle,Level 5,0.0,0.0,0.2,0.0,0.2,2009.0
7519,darkstar one: broken alliance,X360,2010-01-01,Simulation,Kalypso Media,0.11,0.08,0.0,0.02,0.2,2010.0
7520,my fitness coach 2: exercise and nutrition,Wii,2009-01-01,Sports,Black Bean Games,0.14,0.04,0.0,0.02,0.2,2009.0
7521,sengoku basara 2 heroes,PS2,2007-01-01,Action,Capcom,0.0,0.0,0.2,0.0,0.2,2007.0
7522,buzz! the schools quiz,PS2,2008-01-01,Misc,Sony Computer Entertainment,0.0,0.02,0.0,0.19,0.2,2008.0
7523,two worlds ii,PC,2011-01-01,Role-Playing,Unknown,0.09,0.09,0.0,0.03,0.2,2011.0
7524,suikoden tactics,PS2,2005-01-01,Strategy,Konami Digital Entertainment,0.06,0.05,0.07,0.02,0.2,2005.0
7525,ncaa march madness 06,XB,2005-01-01,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2,2005.0
7526,major league baseball 2k11,PS3,2011-01-01,Sports,Take-Two Interactive,0.15,0.03,0.0,0.02,0.2,2011.0
7527,mobile suit gundam: crossfire,PS3,2006-01-01,Simulation,Namco Bandai Games,0.06,0.0,0.14,0.01,0.2,2006.0
7528,phantasy star online,DC,2000-01-01,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2,2000.0
7529,crazy taxi 3: high roller,XB,2002-01-01,Racing,Sega,0.14,0.04,0.02,0.01,0.2,2002.0
7530,dark messiah of might and magic elements,X360,2008-01-01,Role-Playing,Ubisoft,0.16,0.02,0.01,0.02,0.2,2008.0
7531,just dance 2: extra songs,Wii,2011-01-01,Misc,Ubisoft,0.0,0.17,0.0,0.03,0.2,2011.0
7532,midnight club 3: dub edition remix,XB,2006-01-01,Racing,Take-Two Interactive,0.15,0.04,0.0,0.01,0.2,2006.0
7533,international superstar soccer 2000,PS2,2000-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.2,0.0,0.2,2000.0
7534,"warhammer 40,000: space marine",PC,2011-01-01,Shooter,THQ,0.09,0.09,0.0,0.03,0.2,2011.0
7535,candyland / chutes & ladders / memory,GBA,2005-01-01,Misc,Zoo Digital Publishing,0.15,0.05,0.0,0.0,0.2,2005.0
7536,the bible game,PS2,2005-01-01,Misc,Crave Entertainment,0.1,0.08,0.0,0.03,0.2,2005.0
7537,drift king shutokou battle '94,SNES,1994-01-01,Racing,BPS,0.0,0.0,0.2,0.0,0.2,1994.0
